id_cliente;nome_fantasia;tipo_profissional;bairro;zona;cep;latitude;longitude;canal_venda;data_cadastro;data_ultima_compra;qtd_pedidos_12m;faturamento_12m;ja_visitado;obs_visita
CLI-0001;Essência Clínica Médica;Consultório Médico;Moema;Sul;01193-263;-23.593033;-46.680252;Distribuidor;2023-09-27;;0;0;Não;
CLI-0002;Ápice Espaço Estético;Clínica Estética;Tatuapé;Leste;08246-184;-23.546390;-46.570789;Marketplace;2025-08-16;;0;0;Não;
CLI-0003;Nutrivida Clínica Médica;Consultório Médico;Campo Belo;Sul;05746-543;-23.612327;-46.686183;Loja Física;2025-05-20;2025-06-23;26;6985;Sim;Retorno positivo
CLI-0004;Alma Estética;Clínica Estética;Liberdade;Centro;03976-969;-23.553314;-46.643715;Distribuidor;2023-10-25;2024-08-01;2;15944;Sim;Sem retorno
CLI-0005;Equilíbrio Farmácia de Manipulação;Farmácia;Itaquaquecetuba;Leste (fora RMSP central);05279-193;-23.480864;-46.361202;loja fisica;2024-10-07;2025-10-03;6;1560;Não;
CLI-0006;Novo Ciclo Treinamento Funcional;Academia / Personal Trainer;Cotia;Oeste (fora RMSP central);04983-410;-23.591661;-46.902479;Marketplace;2024-12-30;;0;0;Não;
CLI-0007;Renove Treinamento Funcional;Academia / Personal Trainer;Guarulhos;Norte (fora RMSP central);03967-898;-23.456400;-46.548854;Distribuidor;2024-04-21;2025-09-09;22;32974;Não;
CLI-0008;Saúde Plena Farmácia de Manipulação;Farmácia;Sé;Centro;01612-661;-23.542114;-46.629964;Indicação;2024-11-26;2025-11-27;8;25984;Sim;
CLI-0009;Ápice Farmácia;Farmácia;Itaquera;Leste;05305-567;-23.542951;-46.463442;Indicação;2026-03-12;2025-03-18;5;9362;Sim;Retorno positivo
CLI-0010;Origem Treinamento Funcional;Academia / Personal Trainer;Campo Belo;Sul;05520-880;-23.602576;-46.677274;Distribuidor;2025-07-19;2024-08-19;3;34543;Não;
CLI-0011;Saúde Plena Clínica Nutricional;Nutricionista;Cotia;Oeste (fora RMSP central);01322-044;-23.586699;-46.902732;Marketplace;2026-02-15;;0;0;Não;
CLI-0012;Vitalis Drogaria;Farmácia;Tatuapé;Leste;03474-599;-23.532112;-46.579671;Marketplace;2025-05-28;2024-09-26;17;51178;Sim;Retorno positivo
CLI-0013;Vitalis Atacado de Suplementos;Distribuidor de Suplementos;Tatuapé;Leste;03656-757;-23.549472;-46.579893;Loja Física;2026-06-17;2025-07-27;3;47285;Sim;Aumentou pedido
CLI-0014;Saúde Plena Clínica de Estética;Clínica Estética;Liberdade;Centro;;-23.572459;-46.640827;Loja Física;2025-10-27;2026-04-24;19;40670;Sim;
CLI-0015;Bioforma Nutrição;Nutricionista;Vila Ré;Leste;08014-704;-23.539990;-46.486511;Marketplace;2024-09-17;2025-05-28;4;293;Sim;Sem retorno
CLI-0016;Alma Farmácia;Farmácia;Tucuruvi;Norte;06242-962;-23.480945;-46.595594;Distribuidor;2024-03-09;;0;0;Não;
CLI-0017;Essência Academia;Academia / Personal Trainer;Pinheiros;Oeste;01988-017;-23.576005;-46.684875;Indicação;2025-05-20;;0;0;Não;
CLI-0018;Equilíbrio Estética;Clínica Estética;São Bernardo do Campo;Sul (ABC);04677-689;-23.689648;-46.547553;Distribuidor;2025-01-03;2026-04-13;1;-850;Não;
CLI-0019;Prisma Academia;Academia / Personal Trainer;Bela Vista;Centro;04585-109;-23.573323;-46.645783;Distribuidor;2024-11-23;2025-08-28;3;3622;Sim;Aumentou pedido
CLI-0020;Renove House Nutrition;Loja de Suplementos;Perus;Norte (fora RMSP central);02297-526;-23.397913;-46.741225;Marketplace;2023-10-26;2024-08-03;8;34287;Não;
CLI-0021;Bioforma Consultório Médico;Consultório Médico;Osasco;Oeste (fora RMSP central);04018-307;-23.535451;-46.801547;Loja Física;2025-05-21;2024-08-13;10;7170;Não;
CLI-0022;BemStar Atacado de Suplementos;Distribuidor de Suplementos;Tatuapé;Leste;;-23.540915;-46.576806;Indicação;2024-07-05;2026-01-08;24;1210;Sim;Retorno positivo
CLI-0023;Essência Farmácia;Farmácia;Vila Ré;Leste;05163-824;-23.529250;-46.485570;Marketplace;2023-08-03;2025-10-20;21;18269;Não;
CLI-0024;Raiz Suplementos;Loja de Suplementos;Guarulhos;Norte (fora RMSP central);;-23.469313;-46.528944;Loja Física;2025-01-19;2026-01-23;18;16202;Sim;Retorno positivo
CLI-0025;Bioforma Clínica Nutricional;Nutricionista;Itaquera;Leste;08559-861;-23.543874;-46.433505;Distribuidor;2025-11-04;;0;0;Não;
CLI-0026;Equilíbrio Treinamento Funcional;Academia / Personal Trainer;Liberdade;Centro;04684-927;-23.545533;-46.642215;Loja Física;2023-07-21;2026-04-08;20;26052;Não;
CLI-0027;Renove Clínica Médica;Consultório Médico;Santana;Norte;07550-197;-23.499792;-46.641086;Distribuidor;2024-07-18;2025-09-23;7;5291;Sim;
CLI-0028;Viva Studio Fitness;Academia / Personal Trainer;Vila Mariana;Sul;08458-086;-23.601971;-46.633989;Marketplace;2024-03-14;2024-11-12;14;128;Não;
CLI-0029;Ápice Atacado de Suplementos;Distribuidor de Suplementos;Vila Mariana;Sul;03446-460;-23.602667;-46.621815;Distribuidor;2024-07-23;2026-07-06;12;59645;Sim;Retorno positivo
CLI-0030;Prisma Suplementos;Loja de Suplementos;Pinheiros;Oeste;06368-392;-23.577574;-46.706827;Loja Física;2023-10-19;;0;0;Não;
