id_cliente;nome_fantasia;tipo_profissional;bairro;zona;cep;latitude;longitude;canal_venda;data_cadastro;data_ultima_compra;qtd_pedidos_12m;faturamento_12m;ja_visitado;obs_visita;cep_preenchido
CLI-0009;Ápice Farmácia;Farmácia;Itaquera;Leste;05305-567;-23.542951;-46.463442;Indicacao;2026-03-12;2025-03-18;5;9362;Sim;Retorno positivo;Sim
CLI-0009;BemStar Nutrição;Nutricionista;Lapa;Oeste;05443-666;-23.538385;-46.709683;Loja Fisica;2025-07-17;;0;0;Não;;Sim
CLI-0016;Alma Farmácia;Farmácia;Tucuruvi;Norte;06242-962;-23.480945;-46.595594;Distribuidor;2024-03-09;;0;0;Não;;Sim
CLI-0016;Vitalis Suplementos;Loja de Suplementos;Guaianases;Leste;01359-458;-23.548904;-46.430344;Loja Fisica;2025-01-23;2024-10-06;29;4442;Não;;Sim
CLI-0041;Vitalis Estética;Clínica Estética;Osasco;Oeste (fora RMSP central);;-23.516871;-46.801081;Distribuidor;2026-03-24;;0;0;Não;;Nao
CLI-0041;Raiz Clínica de Estética;Clínica Estética;Tucuruvi;Norte;08583-545;-23.467419;-46.590906;Indicacao;2025-08-15;2026-04-23;26;30312;Não;;Sim
CLI-0053;Bioforma Farmácia de Manipulação;Farmácia;Lapa;Oeste;01192-917;-23.545106;-46.716264;Marketplace;2025-11-17;2024-07-26;28;7554;Sim;Aumentou pedido;Sim
CLI-0053;Foco Farmácia de Manipulação;Farmácia;Santo Amaro;Sul;04854-605;-23.637826;-46.696546;Indicacao;2023-07-08;2025-07-05;29;61174;Não;;Sim
CLI-0070;Harmonia Sports Nutrition;Loja de Suplementos;Mogi das Cruzes;Leste (fora RMSP central);07944-867;-23.513418;-46.175936;Loja Fisica;2025-04-30;2026-03-22;3;64;Não;;Sim
CLI-0070;Viva Studio Fitness;Academia / Personal Trainer;Liberdade;Centro;05446-612;-23.546871;-46.652957;Distribuidor;2024-06-12;2024-12-18;3;722;Não;;Sim
CLI-0072;Movimento House Nutrition;Loja de Suplementos;Tatuapé;Leste;01989-468;-23.527489;-46.569538;Loja Fisica;2023-11-27;;0;0;Não;;Sim
CLI-0072;Pura Sports Nutrition;Loja de Suplementos;Mogi das Cruzes;Leste (fora RMSP central);;-23.54075;-46.181408;Marketplace;2024-11-09;2024-10-31;13;657;Não;;Nao
